#t_ns,in_ts
7699116638015,73428890588322
7699149926415,73428923814770
7699183217815,73428956832300
7699216505615,73428986990161
7699249794815,73429022717866
7699283085115,73429056327464
7699316377215,73429091186069
7699349662715,73429124210322
7699382953415,73429158517204
7699416249215,73429191823930
7699449550615,73429225304396
7699482820615,73429259091112
7699516115115,73429291984540
7699549411315,73429324823198
7699582688615,73429358413068
7699615991415,73429391712478
7699649267815,73429425384330
7699682557715,73429458580500
7699715846515,73429491745159
7699749136315,73429525789559
7699782426715,73429559010698
7699815713515,73429592525213
7699849004415,73429625693834
7699882293115,73429658766793
7699915640115,73429692354696
7699948871615,73429726126628
7699982160815,73429759336761
7700015451415,73429792731665
7700048744415,73429826369424
7700082029215,73429859415796
7700115319815,73429892477355
7700148616515,73429926292048
7700181897215,73429959287402
7700215187815,73429992359149
7700248482015,73430025701766
7700281766415,73430059456827
7700315055315,73430092768638
7700348350615,73430126543030
7700381634515,73430160219679
7700414924215,73430193184909
7700448212515,73430226656615
7700481502515,73430259401324
7700514792515,73430293819835
7700548081015,73430327290314
7700581370915,73430359900025
7700614659215,73430393369558
7700647949615,73430426329786
7700681238915,73430459527278
7700714527515,73430488129451
7700747821015,73430523732768
7700781130815,73430559179443
7700814395515,73430592635675
7700847686015,73430625818633
7700881005415,73430659614417
7700914263215,73430689169052
7700947553915,73430725384863
7700980850215,73430758745708
7701014132715,73430791357191
7701047422715,73430823691866
7701080716815,73430857777448
7701114001315,73430890383466
7701147289515,73430923174797
7701180578815,73430957132274
7701213869115,73430991280525
7701247192315,73431025111628
7701280446715,73431058822932
7701313737415,73431091480749
7701347026615,73431125092215
7701380316315,73431158883614
7701413605415,73431191910856
7701446893615,73431225393978
7701480185415,73431258286747
7701513475215,73431291728007
7701546761815,73431325670910
7701580052415,73431358850343
7701613347115,73431392089360
7701646630215,73431426303477
7701679920615,73431458690580
7701713216015,73431492681849
7701746499215,73431525700683
7701779789215,73431559263944
7701813083215,73431592117718
7701846367815,73431626028987
7701879655615,73431659242066
7701912944815,73431693083893
7701946235215,73431726374340
7701979524615,73431759778436
7702012813215,73431792608290
7702046103515,73431826142972
7702079394015,73431859122874
7702112681315,73431892311498
7702145971815,73431926048852
7702179259615,73431959245123
7702212573415,73431992232140
7702245841215,73432025587031
7702279144815,73432058948335
7702312418815,73432092655966
7702345714715,73432126055479
7702378996715,73432159188760
7702412286915,73432192206522
