#t_ns,out_ts
7699582688615,11080077341594
7699615991415,11080094606075
7699649267815,11080111235936
7699682557715,11080124633066
7699715846515,11080139069463
7699749136315,11080156583911
7699782426715,11080173413699
7699815713515,11080192820047
7699849004415,11080210830481
7699882293115,11080228943810
7699915640115,11080250182252
7699948871615,11080269673691
7699982160815,11080287592630
7700015451415,11080304136125
7700048744415,11080319091115
7700082029215,11080334116304
7700115319815,11080352304892
7700148616515,11080371846936
7700181897215,11080389429547
7700215187815,11080409505254
7700248482015,11080429072559
7700281766415,11080447282469
7700315055315,11080459610066
7700348350615,11080478157089
7700381634515,11080497604202
7700414924215,11080514750699
7700448212515,11080535417843
7700481502515,11080557313142
7700514792515,11080579870747
7700548081015,11080602676581
7700581370915,11080625766207
7700614659215,11080649093174
7700647949615,11080672147303
7700681238915,11080695379034
7700714527515,11080715912112
7700747821015,11080736941930
7700781130815,11080757602069
7700814395515,11080779474718
7700847686015,11080800865718
7700881005415,11080825163319
7700914263215,11080849867249
7700947553915,11080874984672
7700980850215,11080897054458
7701014132715,11080918226102
7701047422715,11080934626847
7701080716815,11080950989381
7701114001315,11080965713428
7701147289515,11080979587456
7701180578815,11080995421923
7701213869115,11081011869833
7701247192315,11081024651044
7701280446715,11081038031532
7701313737415,11081050117044
7701347026615,11081059025625
7701380316315,11081071227538
7701413605415,11081078498005
7701446893615,11081090766062
7701480185415,11081101597745
7701513475215,11081109487543
7701546761815,11081121774923
7701580052415,11081134485128
7701613347115,11081146733962
7701646630215,11081155889879
7701679920615,11081167974620
7701713216015,11081178998056
7701746499215,11081191588881
7701779789215,11081203702467
7701813083215,11081217090913
7701846367815,11081231505446
7701879655615,11081245484214
7701912944815,11081260607591
7701946235215,11081276343689
7701979524615,11081294240853
7702012813215,11081314452866
7702046103515,11081335497002
7702079394015,11081356201005
7702112681315,11081379196157
7702145971815,11081401720185
7702179259615,11081427908711
7702212573415,11081451288165
7702245841215,11081468049099
7702279144815,11081488625570
7702312418815,11081513637147
7702345714715,11081535678939
7702378996715,11081548976856
7702412286915,11081565949099
